id,name,collection,team,country,role,KD,ACS,ADR,FK,FD,KAST
1,valyn,BASE,g2,us,CONTROLLER,1.09,207.65,136.11,9.27,8.03,72.87
2,jawgemo,BASE,g2,kh,DUELIST,1.06,223.22,146.56,13.35,13.59,68.69
3,trent,BASE,g2,us,INITIATOR,1.15,217.67,150.48,8.34,7.76,73.39
4,JonahP,BASE,g2,ca,FLEX,1.07,203.61,136.6,9.67,9.4,72.46
5,leaf,BASE,g2,us,SENTINEL,1.16,237.39,156.28,17.17,15.01,69.22
6,artzin,BASE,mibr,br,FLEX,0.98,214.57,144.2,14.29,14.56,68.49
7,xenom,BASE,mibr,br,CONTROLLER,1.14,210.49,145.33,12.9,10.1,71.57
8,cortezia,BASE,mibr,br,SENTINEL,1.13,220.94,153.07,9.28,9.14,72.34
9,Verno,BASE,mibr,us,INITIATOR,1.33,213.2,151.21,6.84,4.59,75.7
10,aspas,BASE,mibr,us,DUELIST,1.38,250.19,170.73,17.46,11.34,73.48
